好食懶飛	好吃懶做
雨褸	雨衣
伯爺	父親
白撞	小偷
罷啦,罷喇	吧
蜜糖豆	青豆
啩	吧
唔經唔覺	不知不覺
香梘	香皂
過主	滾
咭片	名片
派街坊	送給鄰居親友
鬼故,鬼古	鬼故事
頭車	首班車
過檔	跳槽
啱心水	合意
通菜	空心菜
戇	傻
豆腐花	豆腐腦
食死貓	背黑鍋
四四六六	辦事熟練
𡃁仔,僆仔,𨈓仔	小子
差唔多	差不多
老友鬼鬼	老朋友
豆皮佬	麻子
炒燶	炒糊了
踎	蹲
工廠妹	工廠女工
生鬼	詼諧
孭飛	承擔責任
軟腍腍,軟淋淋	軟綿綿的
揭盅	揭曉
冇得彈	極好
聽日	明天
嚟	來
走盞,走趲	迴旋
棉胎	被套
出嚟	出來
差佬	警察
衣車	縫衣機
掕	串
正話	剛才
派報紙	送報紙
中小企	中小型企業
嗰度,嗰道	那裡
定係	還是
大覺瞓	睡大覺
壓力煲	壓力鍋
除衫	脫衣服
蕩失路,盪失路	迷路
老西	西裝
曬馬,晒馬	顯示實力
波場	球場
呃秤,呃稱	騙斤兩
食煙	抽煙
墮	垂
攤凍	放涼
落仔	墮胎
㗎文,㗎話	日文
啲打,啲咑	嗩吶
天口	天氣
對辦,對板	符合樣品
手指罅疏	揮霍
發老脾	發火
碌	滾
笑大人個口	笑死人
過鐘	過了點
木蝨,木虱	臭蟲
獨市生意	獨家生意
趕唔切	來不及
砌圖	拼圖
濕碎	零碎
三歲定八十	三歲看老
笠水	害怕
飯枱,飯檯	餐桌
利是封	紅包封套
掗碇,掗定,掗埞	佔地方
揩親	被碰了一下
大菌食細菌	不乾不淨
攻打四方城	打麻將
攝青鬼	行蹤飄忽的人
扤	壓
波衫	球衣
孖女	孿生姐妹
夥記,伙記	店員
埋岸	靠岸
涼浸浸	涼嗖嗖
吖	啊
薄切切	薄薄的
呃鬼食豆腐,氹鬼食豆腐,𧨾鬼食豆腐	騙人
黃朝百晏,黃朝白晏,黃朝八晏	日上三竿
崩牙	缺齒
冇腦	笨
收買佬	收舊貨的
一日到黑	老是
糖黐豆	形影不離
帶眼	有眼力
係唔係,係咪	是不是
蠄蟧,擒佬	蜘蛛
哽耳	逆耳
耳筒	耳機
旅遊巴	遊覽車
作病	生病
淨係,剩係	只是
炒冷飯	炒剩飯
唱K	唱卡拉OK
禮拜二	星期二
發開口夢	說夢話
生仔	生孩子
醒瞓	警醒
反斗星	調皮蛋
心甘命抵	心甘情願
唔識	不認識
利是,利市	紅包
咭	卡
扭軚,扭舦	轉舵
搲,𢱑,we	抓
姣	淫蕩
不知幾	很
肚餓	餓
黐	粘
大晒	了不起
凍滾水	涼開水
喺度,响度,響度,喺道,响道,響道	在這裡
好相與	好商量
擦餐勁,刷餐勁,擦餐飽,刷餐飽	吃個飽
尿兜	小便斗
幫口	幫腔
狗帶	項圈
嘥	看貶
冖,冧宮頭,冧公頭	寶蓋頭
拉	抓
大嗌	尖叫
茶走	奶茶不加糖
同屋住,同屋主	同住一所房子的鄰居
相架	鏡框
殽框	搞糟了
乘數表	乘法表
枱	桌子
魚欄	水產店
面善	面熟
行政總裁	執行長
大後日	大後天
糝	撒
揸兜	要飯
鹹蝦	蝦醬
瞓低	躺下
而家,依家	現在
BB女,啤啤女	女嬰兒
執字粒	排字
拜山	上墳
死慳死抵	省吃儉用
即係,唧係,姐係,啫係	就是
抆	擦
捱義氣	為朋友兩肋插刀
百厭	調皮
攝石	磁石
攬枕	抱枕
窩輪	權證
cool	帥
豬仔包	短法國麵包
怪唔得,怪唔之,怪唔之得,怪唔得之,怪之得	難怪
我哋	我們
整色整水	裝樣子
焗	迫
飯焦	鍋巴
啤令,啤玲,啤呤	滾珠軸承軸承
頂頸	拌嘴
報紙檔	報攤
見連丸	奎寧丸
膠喉	膠管子
特登	特地
起勢噉,起勢咁	不停地
夠秤	夠分量
除咗	除了
事頭婆	老闆娘
出恭	大便
過數	付賬
老散	警察
條命凍過水	小命不保
精神爽利	精神飽滿
初一流流	大年初一的
啱啱	剛
O咀,O嘴	張口結舌
醉酒佬	醉漢
沙甸魚	沙丁魚
沾寒沾凍,尖寒尖凍,顫寒顫凍	乍寒乍冷
鹹片,咸片	色情片
𠺘口,啷口	漱口
雲吞	餛飩
cheque,check	查
四四正正	端端正正
騎呢,奇離	古怪
換衫	換衣服
粗口爛舌	說話粗鄙下流
大髀,大脾	大腿
求其	隨便
錢銀	金錢
隊啤	喝啤酒
弊傢伙,弊家伙	糟糕
姨媽到	來月經
揩花	蹭花
孖葉	手銬
密斟	密談
肥肥白白	白白胖胖
冇大冇細	沒大沒小
眼淺	眼皮子淺
解簽	拆簽
士多啤梨	草莓
黐	粘
馬蹄粉	荸薺粉
傾偈,傾計	聊天
嗰排	那陣子
雲呢拿,呍呢嗱,呍呢拿,雲呢嗱,雲尼拿,雲尼嗱	香草
伯爺公	老大爺
拍住上	合作
墟	集市
窿路	門路
洗黑錢	洗錢
豆泥	劣
PC	警員
水魚	鼈
扱,𢲩	罩
paper	作文
擔挑	扁擔
陰騭,陰質	缺德
𠺝	…嘛
港督	香港總督
順攤	順當
冇穿冇爛	無病無災
炒老細魷魚,炒老世魷魚,炒老闆魷魚,炒老板魷魚	離職
做節	過節
狗仔式	狗爬式
一係	要麼
髀罅,肶罅,脾罅	腹股溝
鰽白,曹白	鰳魚
普洱	普洱茶
海皮	海邊
意粉	意大利麵
死雞撐飯蓋,死雞撑飯蓋	強辯
晨早流流	一大早的
倀雞,掁雞,棖雞,殘雞,鋹雞	潑野
cheap	低賤
不嬲,不留,不溜	一向
𢆡頭,lin頭,nin頭,脌頭	乳頭
𡁻,噍	嚼
傻傻更更	傻頭傻腦
爆機,打爆機	破紀錄
急口令	繞口令
撥個輪	打電話
麥皮	燕麥片
大家噉話,大家咁話	彼此彼此
生螆,生滋	長寄生小蟲
龍脷	鰨
凍冰冰	冷冰冰
姨甥女	姨姪女
隔籬	隔壁
派帖	分發請帖
打風	颳颱風
白撞	小偷
嗰個	那個
臨時臨急	臨時應付
火酒	酒精
牧童笛	豎笛
雞髀,雞肶	雞腿
踎廁	蹲式廁所
邊有咁大隻蛤乸隨街跳	天上不會掉餡兒餅
掘頭路,倔頭路	死路
有啲	有點
貢,愩	鑽
第一時間	立刻
闊落	寬暢
大鄉里	土包子
嚿	塊
foul	淘汰
唔制	不肯
收數	收帳
左近	附近
個個	每個
怕醜草	含羞草
疊水,沓水	有錢
出糧	發薪水
龍舟節	端午節
食西北風	喝西北風
落班	下班
飲管	吸管
作大	誇張
撈亂	混淆
揸車	開車
拔蘭地	白蘭地
胳肋底	腋下
車死	撞死
菠蘿麻	劍麻
從嚟	從來
噉都得,咁都得	怎麼可以這樣
一次過	一次性
呢度,依度	這邊
鬼佬	外國人
葵扇	黑桃
是但,是旦,事但,事旦	隨便
插水	跳水
早排	前陣子
使乜	何必
掣	電鈕
臊	羶
滑潺潺	滑滑的
冷天	冬天
cancer	癌
旺菜	淡菜
眼白白	眼睜睜
撳𨋢,㩒𨋢	按電梯
風褸	風衣
瞓身	全力
放生電	賣俏
揼	磨蹭
呢啲,依啲	這些
呻	怨
看牛	放牛
拖友	戀人
通渠	疏通溝渠
唔夠瞓	睡眠不足
精叻	聰明能幹
睇牛	看牛
水喉水	自來水
得唔得	可不可以
話之,話知	不管
去飲	赴宴
後便	後面
借一借	借光
甜椰椰,甜耶耶	甜絲絲的
多少	一些
面阻阻,面左左	兩人爭鬥
鮑魚刷	廁刷
爆拆,爆擦,爆坼,㿺㿭	皴
半生熟	半生不熟
佢哋	他們
打波	打球
捉棋	下棋
飯堂	食堂
手掣	手閘
嘅話	的話
香爐墩,香爐躉	獨生子
心肝椗	心肝寶貝
吸塵機	吸塵器
搶閘	搶先
影衰,映衰	丟臉
恃老賣老	倚老賣老
神憎鬼厭	人人討厭
起上嚟	起來
窮到燶	一貧如洗
火水爐	煤油爐
身光頸靚	衣著光鮮
驚	怕
水過鴨背	善忘
同埋	而且
水喉	水管
盅頭飯	蒸飯
腩	腹部的肥肉
打功夫	打拳
掹雞,扳雞,摱雞,𢺳雞	扣扳機
淥,熝	燙
脷	舌頭
執正,揸正	按原則
散仔	警察
諗真啲	好好想想
打倒褪	倒退
官仔骨骨	斯斯文文
升呢,升lv	過關
煙鏟,煙剷	煙鬼
feel	感覺
初嚟報到,初嚟甫到,初嚟埗到	新來乍到
周身刀冇張利	什麼都只懂一點
死蛇爛鱔	懶人
頂住檔	頂替一下
枱布	桌布
𡃴	味道
禮拜尾	週末
窿,竉	孔
發燒友	狂熱者
沙紙	畢業證書
白雪雪,白𠽌𠽌	雪白
勝瓜	絲瓜
啤啤熊	泰迪熊
老倌	名伶
囡囡	女兒
頭泥	頭垢
食飯	吃飯
好似係	好像是
掟	投
唔三唔四	不正經
底底	內褲
麻麻哋,麻麻地	湊合
撻	騙
雙糧	雙薪
做乜	幹嘛
波板糖	棒棒糖
啱身	合身
吔飯,喫飯	吃飯
馬騮	猴子
攣捐	彎彎曲曲
冇所謂	無所謂
豬扒	豬排
秘撈	搞外快
揦鮓,嗱喳,拿渣	髒
chok樣,擢樣,戳樣,剒樣	耍帥
飲得	酒量大
得閒,得閑	有空
唔使問阿貴,唔使問阿桂,唔駛問亞貴	還用問？
光管	日光燈
忍唔住	忍不住
大頸泡	甲狀腺腫
咪	就…
撈飯	拌飯
冇用	沒用
大信封	解僱信
落手落腳	親自動手
膊頭	肩膀
倒褪	退後
攣,孿	彎
懶闊佬,讕闊佬	擺闊氣
呷醋	吃醋
瞓街	露宿街頭
苦刁刁	非常苦
發嬲	生氣
圓肉	龍眼肉
唚,噆,譖	羅嗦
自己友	自己人
䟴腳,扤腳,un腳,印腳	抖腿
禮拜三	星期三
心諗	心裡想
新淨	嶄新
彳,雙企人	雙人旁
疏堂	堂
佢	他
細個	小
馬經	賽馬資料
禾稈	稻草
襯家	親家
後生女	年輕姑娘
分分鐘	隨時
咪錶,咪表	儀錶
sales	售貨員
銀碼	價錢
矮仔	矮子
炒魷	炒魷魚
劏雞	殺雞
鋅盤,sink盤,昇盤,鋅盆,sink盆,昇盆,星盆	水槽
豬潲,豬餿	豬食
污糟錢	髒錢
拆掂	解決
擠塞	堵塞
包保	保證
咀	親吻
壅	埋
諗落	想一想
薯仔,茨仔	馬鈴薯
容乜易	很容易
到喉唔到肺	沒吃夠
埋嚟	過來
蒲頭,浮頭	露面
色水	顏色
磅水	給錢
金舖	金店
滅火喉	消防水龍
傾唔埋	談不攏
魚泡,魚卜,魚𦢊	魚鰾
行行企企	無所事事
嚟緊	將會
戲肉,戲玉	好戲
打低	打倒
滾水淥腳	匆匆忙忙
欖	橄欖
苦瓜乾	愁眉苦臉的人
鴨仔	小鴨、小鴨子
指甲鉗	指甲刀
𢳂,𢴩,潷,㧾	舀
之但係	不過
去馬	上馬
摩打	馬達
大花灑	亂花錢的人
粟米片	玉米片
冇膽匪類	膽小鬼
咁上下	左右
十字車	救護車
𨂽腳,趻腳	跺腳
枕住	經常
龍鳳鈪	龍鳳鐲
傾閒偈,傾閒計	閒聊天
妗婆	舅奶奶
蠍	蠍子
濕星	瑣碎
蛋散,蛋饊	排叉兒
牛高馬大	人高馬大
食晏	吃午飯
啡	噴射
令到	使
過雲雨	陣雨
階磚	方磚
因咩事	為什麼
食腦	動腦筋
就快	快
醋埕	醋缸子
家陣	現在
撞板	碰壁
窗鉸,窗骹	窗合頁
呻	怨
外太婆	太姥姥
靚仔	美男子
親戚巾	衛生巾
隻揪,隻抽	單挑
行街	逛街
O記	有組織罪案及三合會調查科
蚊𧕴,蚊赧	蚊咬
擺款	擺架子
糹,繑絲邊,繞絲邊	絞絲旁
乜嘢	什麼
烏燈黑火	黑燈瞎火
冚家	全家
兩仔乸	母子倆
契爺	乾爹
倒模	鑄模
差唔多	差不多
唔係嘢少	不簡單
踢拖	穿拖鞋
見工	面試
食飯	吃飯
結他	吉他
家頭細務	家務
看更	守夜
耐唔中	偶爾
唔通	難道
箭咀,箭嘴	箭頭
抵得頸	忍得住氣
當衰	倒霉
揞	摀
吱吱斟,吱吱浸	竊竊私語
搣	撕
婚紗舖	婚紗店
坐低	放下
通勝	通書
恤衫,裇衫	襯衫
屈質,屈仄	局促
散銀	零錢
執到	撿到
出嚟	出來
唉吔,哎吔	哎呀
call	叫
電芯	電池
屎片	尿布
港紙	港幣
𠺘,啷	涮
煙囱,煙通	煙囪
口花花	多嘴
啲啲,DD	一點點
擺甫士	擺姿勢
白撞雨	過雲雨
甩身	脫身
刮粗龍	剝刮大筆錢財
硬淨,硬掙	硬朗
牛𦟌	牛腱子
褓姆車	校車
螺絲批	螺絲起子
𣲷懦,𥹉懦	磨蹭
乒乓波	乒乓球
岌頭,up頭	點頭
格仔餅	格子鬆餅
好天	晴天
番梘	肥皂
𦧲飯應,lur飯應	立刻答應
誓願當食生菜,發誓當食生菜	起誓當白饒
啱啱好	正好
餓死老婆瘟臭屋,餓死老婆熏臭屋,餓死老婆薰臭屋	沒本事
山埃	氫化鉀
有冇	有沒有
鬼影都冇隻,鬼影都冇	人都走光了
扚起心肝,的起心肝,𢯊起心肝	立下決心
毛公仔	洋娃娃
拍爛手掌	拍手叫好
撳錢,㩒錢	提款
竹升仔	假洋鬼子
下晝	下午
波場,ball場	球場
問心嗰句,講心嗰句	說真心話
唔啱牙	合不來
㗎,咖,𡃉	的
勁揪,勁抽	厲害
𢯎,R,𢲷	搔
兩腳一伸	死亡
茶餐廳	港式餐館
爆竊	失竊
新正頭,新蒸頭	正月期間
郁郁貢,郁郁愩,喐喐貢,喐喐愩	亂動
唔單只,唔單止,唔單祇	不但
兩仔爺	父子倆
蝦蝦霸霸	仗勢欺人
陀衰,佗衰	拖累
鬼殺咁嘈	吵死了
招積	誇耀
拍硬檔,拍爛檔	緊密合作
貪得意	好奇
攞景	揶揄
交帶	吩咐
避彈衣	防彈衣
食碗面反碗底	吃裡扒外
正啱	剛巧
影相	拍照
通頂	通宵
一個二個	一個個
吖	啊
洗衫板	搓板
懵佬	傻瓜
蟛蜞	小螃蟹
飯殼	飯勺
喺,响	在
侍應	服務員
開口有話	有道是
一拍兩散	一刀兩斷
煙灰盅	煙灰缸
八仙枱,八仙檯	八仙桌
㾓痛,淵痛	酸痛
睇開	看開
唔緊要	不要緊
玩嘢	耍花招
流鼻水	流鼻涕
梳打水	汽水
捉伊人,捉依因,捉兒人	捉迷藏
賓婆	菲律賓人
晚黑	晚上
頭痕	頭疼
砵砵車,呠呠車,𠼭𠼭車	汽車
卡那,卡喇,卡罅	縫兒
上心	用心
掗拃,𦜖䐱	礙事
久唔久	不時
雞屎果	番石榴
cam	攝像機
扮嘢	裝模作樣
M	月經
僭建	違章建築
扒龍船	划龍船
入嚟	進來
落客	讓乘客下車
爆大鑊	揭底
心思思	惦著
俾心機,畀心機	用心
姣	淫蕩
唔係	不然
長命債長命還	慢慢還債
艹,草花頭	草頭兒
唔記得	忘記
冇幾耐	不久
大家姐	大姐
賣鹹鴨蛋	去世
雪條	冰棍
紮職	升級
醫肚	填肚子
前便	前面
狼死	兇猛
紙紮公仔	沒用的人
咇,beat,bit	噴
餐屎,餐士	機會
演嘢	賣弄
見步行步	走一步算一步
鎖匙窿	鎖孔
老定	鎮定
今時唔同往日	今非昔比
黑啤梨	黑莓
立雜,垃雜,垃集	雜亂
瞓過龍,瞓過籠	睡過頭
炒魷魚	炒魷魚
晏晝	中午
過冷河	過清水
布碎	碎布
趁手	順手
石屎,石矢	石屑
攞	拿
啲咁多,啲咁啄,的咁多	一點點
花膠	魚肚
芫茜	芫荽
細路仔	男孩
了哥	八哥
箍煲	補救
符弗,符fit	辦法
fax	傳真
唔忿氣	不服氣
熟口熟面	面熟
車大炮,車大砲,撦大奅	吹牛
躉	臀
陣間	一會
四眼仔	戴眼鏡的男孩
short	神經有問題
嚟自	來自
對唔住	對不起
波地	球場
籮底橙	剩貨
無情白事	無緣無故
講到尾,話到尾	說到底
嘢	東西
爛溶溶,爛茸茸,爛蓉蓉	破爛
水浸眼眉	火燒眉毛
褲頭帶	褲帶
妹妹仔	小妹妹
借問聲	請問一下
家嘈屋閉	家無寧日
過身	去世
講得口響	說得好聽
背囊	背包
雀仔	鳥兒
唔怪得,唔怪之,唔怪之得,唔怪得之	怪不得
慘情	悽慘
收爐	過年前最後一天上班
冇搭霎,冇傝𠎷,冇答颯	馬虎
烚熟狗頭,熠熟狗頭,煠熟狗頭	傻笑
月尾	月底
tissue	面紙
想話	正想
踎低	蹲下
攬頭攬頸,箍頭攬頸	摟摟抱抱
搏命	拼命
拍心口	保證
豬扒	豬排
晏覺	午覺
癩	疥瘡
間尺	尺子
嗰時	那時候
睇頭	隨大流
攰,癐	累
竇	窩
單思	單相思
鎅刀,𠝹刀	割紙刀
奶樽	奶瓶
裝身	打扮
洗濕個頭	身不由己
妾侍	小老婆
攤大手板	伸手
擒青	匆忙
行路唔帶眼	遇事盲目
捉痛腳	揭短
滑揗揗	滑溜溜
三文魚	鮭魚
出貓	作弊
拮,㓤	扎
乜料,咩料	什麼事
荷蘭水	汽水
頭頭碰着黑,頭頭碰著黑	到處碰上倒霉事
打機	打電動
失驚無神,失雞無神	突然
啡	噴射
多士爐	烤麵包機
尾龍骨	尾骨
唔見棺材唔流眼淚	不見棺材不落淚
事頭	老闆
橫掂	反正
花哩碌,花呢碌	花裡胡哨
一嚿飯,成嚿飯	飯桶
講笑	開玩笑
出冊	出獄
打櫼	插隊
元寶蠟燭香	紙錢蠟燭
頭赤	頭痛
你哋	你們
把口唔收,把口唔修	口無遮攔
夜麻麻,夜媽媽	深夜
樣衰	醜
做到氣咳	忙得喘不過氣來
鬍鬚勒特	滿臉鬍子
扒龍舟	賽龍船
賴死	賴著不走
整定	註定
老抽	濃醬油
咪書	啃書
𨂽,趻,dum	跺
洗衣舖	洗衣店
碎銀	零錢
走冰	不加冰
餐枱,餐檯	飯桌
喉急	急
牙擦擦	自大
色士風,saxphone,saxophone	薩克斯管
大茶飯	大案
瞌眼瞓	打瞌睡
挽鞋	提鞋
貼地	現實
大婆	正妻
一把火	生氣
大把	很多
口疏	嘴快
檔口	攤子
詐糊	還沒和牌
撚化	捉弄
撞正	正碰上
嗰	那
冇	沒有
講開又講,講起又講	說起來
為咗	為了
唥	鈴聲
冬大過年	過冬至節比過年還重要
荷蘭豆	豌豆
墟	集市
飛仔	阿飛
初初	起初
斷市	脫銷
好好睇睇	體面
大細超	不公平
餸頭餸尾	剩菜
唔似	不像
飛屎,Face,非士	面子
仲係,重係	還是
罨	漚
孭數	承擔債務
越嚟越,愈嚟愈	越來越
沖涼房	洗澡間
話明	說明白
剃眼眉	出醜
挑機	挑戰
㧬,𢫨	推
死火	糟糕
冬菇	香菇
傻更更	傻乎乎
夾手夾腳	互相配合
掘頭,倔頭,屈頭	盡頭
噏三噏四	說三道四
一係,一唔係	要麼
坐廁,座廁	坐式廁所
𨅝	蹬
冇法子	沒辦法
噉樣,咁樣	這樣
頂心杉	眼中釘
豬紅	豬血
陰陰凍	冷
處,樹	地方
嘥心機	費神
拉尺	捲尺
順風順水	一路順風
返嚟,翻嚟	回來
貪靚	愛美
有事慢慢講	有事好說
面青青	臉色發青
鏹	硫酸
蝠鼠	蝙蝠
